N;M;seed;LP_median_objval;LP_median_CPU;INT_median_objval;INT_median_nodes;INT_median_CPU;median_ranking;LP_gap_median;LP_mean_objval;LP_mean_CPU;INT_mean_objval;INT_mean_nodes;INT_mean_CPU;mean_ranking;LP_gap_mean;rowgen_objval;rowgen_nodes;rowgen_iterations;rowgen_constrs;rowgen_CPU;actual_error;approx_error;ratio_error;theta_median;theta_mean;weighted_Kendall;normal_Kendall
15;30;30;178.0;0.008778095245361328;178.0;1;0.007889747619628906;[15, 9, 5, 3, 12, 11, 2, 14, 10, 6, 4, 8, 7, 1, 13];0.0;-321.72422360248447;0.7352161407470703;-322.77142857142854;1;12.778657674789429;[11, 15, 5, 12, 2, 1, 9, 3, 14, 10, 6, 4, 8, 13, 7];-0.0032444165630736155;-322.77142857142843;1;5;105;6.357879638671875;0.0018860864850831494;0.284420746061117;0.00663132528552563;103908.0;101324.0;204.5;0.1825892857142857
15;40;31;296.0;0.008846282958984375;296.0;1;0.008097410202026367;[1, 8, 9, 4, 15, 3, 11, 6, 5, 13, 14, 2, 12, 7, 10];0.0;-364.47457264957256;0.9637069702148438;-365.2809523809523;1;7.11361026763916;[1, 8, 9, 15, 11, 6, 5, 4, 3, 13, 14, 2, 12, 7, 10];-0.0022075603070009775;-365.2809523809523;3;5;132;4.077521085739136;0.0003930940776674108;0.28030115033521535;0.001402399088256702;136674.0;136118.0;75.0;0.06696428571428571
15;40;32;244.0;0.008540630340576172;244.0;1;0.007800579071044922;[4, 11, 12, 5, 10, 13, 1, 8, 7, 9, 15, 14, 6, 3, 2];0.0;-442.43105590062106;0.9708964824676514;-444.00952380952367;1;10.01732325553894;[4, 12, 5, 13, 8, 11, 10, 1, 7, 9, 15, 2, 14, 6, 3];-0.0035550316474287635;-444.0095238095238;3;6;161;10.041706562042236;0.0029451757231760967;0.288269456929744;0.010216745660619482;143150.0;140016.0;96.0;0.08571428571428572
15;40;33;536.0;0.008617639541625977;536.0;1;0.007939338684082031;[10, 4, 8, 5, 1, 13, 12, 2, 7, 3, 9, 15, 14, 11, 6];0.0;-223.20714285714266;0.9050686359405518;-223.4476190476188;1;3.813722848892212;[8, 10, 4, 5, 1, 13, 12, 2, 7, 3, 9, 15, 14, 11, 6];-0.0010762083368849318;-223.44761904761887;1;6;133;1.9254364967346191;9.849090053515308e-05;0.30051674641148324;0.0003277384761789421;157020.0;156984.0;29.5;0.026339285714285714
15;40;34;114.0;0.008554458618164062;114.0;1;0.0078125;[13, 10, 11, 5, 14, 6, 4, 3, 15, 1, 8, 7, 12, 9, 2];0.0;-536.0844246031746;0.9929707050323486;-538.8190476190476;3;24.30913782119751;[10, 13, 11, 5, 6, 4, 14, 3, 1, 9, 15, 8, 7, 12, 2];-0.005075215933729282;-538.8190476190476;7;7;188;13.616347789764404;0.0019424840808268673;0.28057333416185093;0.006923266912123339;135458.0;133109.9999999997;65.0;0.05803571428571429
15;40;35;228.0;0.00861811637878418;228.0;1;0.007841110229492188;[14, 6, 13, 15, 4, 2, 8, 7, 3, 1, 12, 10, 5, 9, 11];0.0;-444.21348036758553;0.962519645690918;-444.9476190476191;1;10.18860387802124;[14, 6, 13, 4, 2, 15, 7, 8, 3, 1, 12, 10, 5, 9, 11];-0.001649944057696029;-444.94761904761896;3;7;156;8.511624813079834;0.0006519071117406794;0.28304699081087564;0.0023031762672095185;139196.0;138547.99999999974;32.5;0.029017857142857144
15;40;36;254.0;0.008395195007324219;254.0;1;0.00791788101196289;[6, 10, 13, 4, 3, 15, 8, 1, 11, 5, 14, 12, 7, 2, 9];0.0;-431.19658659924124;0.988377571105957;-433.3952380952379;5;18.78754496574402;[6, 10, 4, 13, 3, 11, 15, 8, 1, 5, 14, 12, 7, 2, 9];-0.005073086417976547;-433.3952380952378;5;7;165;19.01078486442566;0.0013397786526708755;0.2882142893270077;0.004648550409486338;142460.0;141570.0;41.5;0.03705357142857143
15;40;37;306.0;0.008688211441040039;306.0;1;0.007858991622924805;[4, 5, 10, 15, 13, 6, 2, 3, 9, 11, 14, 7, 8, 12, 1];0.0;-404.7907251789604;0.9540350437164307;-405.79047619047606;1;4.624910593032837;[4, 5, 10, 15, 13, 9, 6, 7, 2, 3, 11, 14, 8, 12, 1];-0.0024637123593960197;-405.79047619047606;1;7;172;5.375274658203125;0.0014132531742114818;0.29297782366137903;0.00482375476938796;147570.0;146230.0;58.5;0.05223214285714286
15;40;38;164.0;0.008634090423583984;164.0;1;0.007786989212036133;[9, 4, 2, 12, 13, 14, 8, 5, 7, 10, 6, 3, 1, 11, 15];0.0;-467.3937531529782;1.0205769538879395;-470.8333333333333;55;25.89034938812256;[12, 13, 4, 2, 14, 5, 7, 10, 9, 8, 11, 1, 6, 15, 3];-0.007305303037922317;-470.83333333333326;59;9;217;22.939839124679565;0.0018152556871728898;0.276667234021093;0.0065611516795461775;131664.0;129784.0;214.0;0.19107142857142856
15;40;39;238.0;0.008562564849853516;238.0;1;0.00799870491027832;[7, 5, 11, 4, 12, 14, 3, 10, 9, 15, 2, 1, 13, 6, 8];0.0;-420.7418367346938;0.985358476638794;-421.4095238095237;1;7.932904958724976;[7, 5, 11, 4, 12, 14, 3, 10, 15, 2, 1, 13, 6, 8, 9];-0.0015844138233850336;-421.4095238095237;1;5;130;5.992700815200806;0.001720558378545789;0.2820409173403729;0.006100385698538141;136756.0;135320.0;34.5;0.03080357142857143
15;40;40;304.0;0.008554935455322266;304.0;1;0.00793313980102539;[3, 4, 10, 9, 13, 5, 1, 7, 12, 15, 14, 11, 8, 6, 2];0.0;-381.8644085012277;0.9830758571624756;-383.590476190476;1;18.233662843704224;[3, 4, 10, 9, 13, 5, 1, 7, 12, 15, 14, 11, 8, 2, 6];-0.004499766799192506;-383.590476190476;5;7;162;21.21483564376831;0.00043279442834120996;0.2882694023193577;0.0015013540280689969;142186.0;142034.0;2.0;0.0017857142857142857
15;50;41;290.0;0.008368968963623047;290.0;1;0.007821321487426758;[9, 7, 3, 12, 11, 14, 2, 10, 4, 6, 8, 1, 15, 13, 5];0.0;-544.3588972431077;1.208996057510376;-546.1285714285711;1;11.835129022598267;[7, 9, 3, 12, 11, 14, 2, 1, 10, 6, 8, 15, 4, 13, 5];-0.0032403984666730112;-546.1285714285713;5;6;193;9.815971612930298;0.0007956049684159083;0.2835997777307887;0.002805379379285509;173016.0;171832.0;62.0;0.055357142857142855
15;50;42;224.0;0.008622884750366211;224.0;1;0.007934331893920898;[11, 10, 7, 9, 13, 15, 4, 14, 6, 5, 1, 3, 2, 12, 8];0.0;-631.4190476190475;1.197324514389038;-631.7142857142857;1;4.464210033416748;[11, 10, 7, 9, 4, 14, 6, 13, 15, 5, 1, 3, 2, 12, 8];-0.00046736016885273735;-631.7142857142856;1;6;172;2.5495107173919678;0.0020779690111577542;0.2867843144851455;0.0072457554552391185;177656.0;175900.0;61.5;0.054910714285714285
15;50;43;302.0;0.008734703063964844;302.0;1;0.007784128189086914;[15, 4, 9, 14, 1, 3, 12, 11, 6, 7, 8, 10, 5, 2, 13];0.0;-559.3904761904761;1.1829633712768555;-559.4619047619047;1;2.597294807434082;[15, 4, 9, 14, 1, 3, 12, 11, 6, 7, 8, 10, 5, 2, 13];-0.00012767370006916412;-559.4619047619047;1;3;94;0.2662060260772705;0.0;0.2871491160831713;0.0;177942.0;177942.0;0.0;0.0
15;50;44;190.0;0.00854182243347168;190.0;1;0.007916450500488281;[15, 11, 14, 3, 4, 7, 5, 9, 8, 6, 10, 1, 12, 13, 2];0.0;-624.2888939208417;1.3262825012207031;-627.8142857142858;1;15.82561206817627;[15, 11, 14, 3, 4, 5, 8, 9, 12, 13, 6, 10, 1, 7, 2];-0.005615341787632566;-627.8142857142857;5;8;230;14.799617052078247;0.0010698910970764475;0.28101044399855946;0.0038073001197134583;169322.0;167186.0;109.0;0.09732142857142857
15;50;45;266.0;0.008511066436767578;266.0;1;0.007858514785766602;[12, 11, 4, 7, 15, 2, 10, 1, 8, 13, 6, 14, 9, 3, 5];0.0;-579.6652818270163;1.2473375797271729;-581.0047619047617;3;13.8618323802948;[12, 11, 4, 7, 15, 2, 10, 1, 8, 6, 14, 13, 9, 3, 5];-0.002305454560052267;-581.0047619047618;7;8;224;15.633844375610352;0.0006483144964490872;0.2858447920626039;0.0022680647486034923;175222.0;174520.0;11.5;0.010267857142857143
15;50;46;200.0;0.008341073989868164;200.0;1;0.008095979690551758;[15, 9, 1, 7, 12, 2, 3, 13, 6, 10, 14, 8, 11, 4, 5];0.0;-599.2785714285714;1.305891752243042;-600.2142857142856;1;11.055845022201538;[15, 1, 7, 12, 2, 9, 6, 3, 13, 10, 14, 8, 11, 4, 5];-0.001558967035582337;-600.2142857142856;1;6;181;8.799888849258423;0.0010639651204485956;0.2772174163348847;0.0038380168696302342;165646.0;164767.99999999962;70.5;0.06294642857142857
